iter	Passed	Remaining
302	730	1680
303	732	1675
304	733	1670
305	735	1667
306	737	1665
307	739	1662
308	741	1658
309	743	1654
310	744	1649
311	746	1645
312	747	1640
313	749	1638
314	751	1634
315	753	1630
316	754	1626
317	756	1622
318	757	1617
319	759	1613
320	760	1609
321	762	1605
322	764	1603
323	766	1599
324	767	1594
325	769	1590
326	770	1586
327	772	1582
328	773	1577
329	774	1573
330	776	1568
331	779	1567
332	780	1563
333	782	1559
334	785	1559
335	787	1557
336	789	1554
337	791	1550
338	794	1548
339	795	1545
340	797	1542
341	801	1541
342	803	1538
343	804	1533
344	806	1530
345	808	1527
346	810	1524
347	811	1521
348	814	1519
349	816	1516
350	818	1512
351	819	1509
352	821	1505
353	823	1502
354	825	1498
355	826	1495
356	829	1493
357	831	1490
358	833	1487
359	834	1483
360	836	1480
361	837	1476
362	839	1472
363	840	1469
364	843	1467
365	844	1463
366	846	1459
367	847	1456
368	849	1452
369	850	1448
370	852	1445
371	854	1442
372	857	1440
373	859	1437
374	860	1434
375	862	1431
376	864	1428
377	865	1424
378	867	1421
379	868	1417
380	870	1414
381	873	1412
382	874	1409
383	876	1405
384	877	1401
385	879	1398
386	880	1395
387	882	1391
388	884	1388
389	886	1386
390	888	1384
391	890	1381
392	892	1378
393	895	1377
394	897	1374
395	898	1371
396	901	1368
397	903	1365
398	904	1362
399	906	1359
400	907	1356
401	909	1352
402	911	1350
403	913	1347
404	916	1345
405	917	1342
406	919	1339
407	920	1336
408	922	1333
409	924	1329
410	925	1326
411	927	1323
412	929	1320
413	931	1318
414	932	1314
415	934	1311
416	936	1308
417	938	1306
418	940	1303
419	942	1301
420	944	1299
421	946	1296
422	948	1293
423	949	1289
424	952	1288
425	953	1285
426	955	1282
427	958	1280
428	960	1279
429	963	1277
430	965	1274
431	967	1271
432	969	1269
433	971	1266
434	974	1265
435	979	1266
436	981	1264
437	983	1262
438	985	1259
439	989	1259
440	991	1256
441	993	1253
442	995	1251
443	996	1248
444	999	1246
445	1002	1245
446	1005	1243
447	1007	1240
448	1008	1238
449	1010	1235
450	1013	1234
451	1017	1233
452	1019	1231
453	1021	1228
454	1022	1225
455	1024	1222
456	1026	1219
457	1027	1216
458	1029	1213
459	1031	1210
460	1034	1209
461	1037	1208
462	1039	1205
463	1041	1203
464	1043	1200
465	1047	1199
466	1050	1199
467	1052	1196
468	1054	1193
469	1055	1190
470	1056	1187
471	1058	1184
472	1061	1183
473	1063	1179
474	1064	1176
475	1065	1173
476	1067	1169
477	1068	1166
478	1069	1163
479	1070	1160
480	1072	1156
481	1075	1155
482	1077	1153
483	1079	1151
484	1081	1148
485	1083	1146
486	1085	1143
487	1086	1140
488	1088	1137
489	1090	1134
490	1091	1131
491	1093	1128
492	1094	1125
493	1096	1122
494	1097	1120
495	1099	1117
496	1100	1113
497	1102	1111
498	1104	1108
499	1105	1105
500	1107	1102
501	1108	1099
502	1109	1096
503	1111	1093
504	1112	1090
505	1113	1087
506	1115	1084
507	1116	1081
508	1118	1079
509	1119	1075
510	1121	1072
511	1122	1069
512	1123	1066
513	1125	1063
514	1126	1060
515	1127	1057
516	1129	1054
517	1130	1051
518	1131	1049
519	1133	1046
520	1134	1043
521	1135	1040
522	1136	1036
523	1138	1033
524	1139	1030
525	1140	1027
526	1141	1024
527	1143	1022
528	1144	1019
529	1146	1016
530	1147	1013
531	1149	1010
532	1150	1008
533	1151	1005
534	1153	1002
535	1154	999
536	1155	996
537	1157	993
538	1159	991
539	1160	988
540	1162	986
541	1163	983
542	1165	980
543	1166	978
544	1168	975
545	1169	972
546	1170	969
547	1172	967
548	1174	964
549	1176	962
550	1177	959
551	1179	957
552	1180	954
553	1182	951
554	1183	949
555	1184	946
556	1186	943
557	1187	940
558	1189	938
559	1190	935
560	1192	933
561	1193	930
562	1195	927
563	1196	925
564	1198	922
565	1199	919
566	1200	916
567	1201	914
568	1203	911
569	1205	909
570	1206	906
571	1207	903
572	1209	900
573	1210	898
574	1211	895
575	1212	892
576	1213	889
577	1215	887
578	1216	884
579	1218	882
580	1219	879
581	1220	876
582	1221	874
583	1223	871
584	1224	868
585	1225	865
586	1226	863
587	1228	860
588	1229	857
589	1230	854
590	1232	852
591	1233	850
592	1234	847
593	1235	844
594	1237	842
595	1239	839
596	1240	837
597	1242	835
598	1243	832
599	1244	829
600	1246	827
601	1247	825
602	1249	822
603	1250	819
604	1251	817
605	1252	814
606	1253	811
607	1255	809
608	1256	806
609	1257	803
610	1258	800
611	1259	798
612	1261	796
613	1262	793
614	1264	791
615	1265	789
616	1267	786
617	1268	783
618	1269	781
619	1270	778
620	1271	776
621	1272	773
622	1274	771
623	1275	768
624	1277	766
625	1278	763
626	1279	761
627	1280	758
628	1282	756
629	1283	753
630	1284	751
631	1285	748
632	1286	745
633	1288	743
634	1289	741
635	1291	739
636	1292	736
637	1293	733
638	1294	731
639	1295	728
640	1297	726
641	1298	723
642	1299	721
643	1300	718
644	1301	716
645	1303	714
646	1304	711
647	1306	709
648	1307	707
649	1308	704
650	1310	702
651	1311	700
652	1312	697
653	1314	695
654	1315	692
655	1317	690
656	1318	688
657	1319	686
658	1320	683
659	1322	681
660	1323	678
661	1324	676
662	1325	673
663	1326	671
664	1327	668
665	1328	666
666	1329	663
667	1331	661
668	1332	659
669	1333	657
670	1334	654
671	1336	652
672	1337	649
673	1338	647
674	1339	644
675	1340	642
676	1341	639
677	1342	637
678	1343	635
679	1345	633
680	1347	631
681	1349	629
682	1350	626
683	1351	624
684	1353	622
685	1355	620
686	1356	618
687	1357	615
688	1361	614
689	1364	613
690	1366	611
691	1368	609
692	1369	606
693	1370	604
694	1371	602
695	1373	599
696	1375	597
697	1376	595
698	1378	593
699	1379	591
700	1380	588
701	1381	586
702	1382	584
703	1383	581
704	1385	579
705	1386	577
706	1387	575
707	1389	573
708	1391	571
709	1392	568
710	1394	566
711	1395	564
712	1396	562
713	1397	559
714	1398	557
715	1399	555
716	1400	552
717	1402	550
718	1404	548
719	1405	546
720	1406	544
721	1407	542
722	1408	539
723	1410	537
724	1411	535
725	1412	533
726	1413	530
727	1414	528
728	1415	526
729	1417	524
730	1419	522
731	1420	520
732	1421	517
733	1423	515
734	1425	513
735	1427	512
736	1429	510
737	1431	508
738	1433	506
739	1434	504
740	1435	501
741	1436	499
742	1437	497
743	1439	495
744	1440	492
745	1441	490
746	1442	488
747	1443	486
748	1444	484
749	1446	482
750	1448	480
751	1449	478
752	1451	476
753	1452	474
754	1454	471
755	1455	469
756	1456	467
757	1457	465
758	1458	463
759	1460	461
760	1461	459
761	1462	456
762	1464	454
763	1465	452
764	1466	450
765	1467	448
766	1468	446
767	1469	443
768	1470	441
769	1471	439
770	1472	437
771	1475	435
772	1476	433
773	1478	431
774	1480	429
775	1481	427
776	1482	425
777	1483	423
778	1484	421
779	1486	419
780	1487	417
781	1489	415
782	1490	413
783	1491	411
784	1492	408
785	1494	406
786	1495	404
787	1496	402
788	1497	400
789	1498	398
790	1499	396
791	1500	394
792	1501	392
793	1503	390
794	1505	388
795	1506	386
796	1507	383
797	1508	381
798	1509	379
799	1510	377
800	1511	375
801	1512	373
802	1513	371
803	1514	369
804	1515	367
805	1519	365
806	1520	363
807	1522	361
808	1523	359
809	1524	357
810	1525	355
811	1526	353
812	1527	351
813	1528	349
814	1531	347
815	1533	345
816	1534	343
817	1535	341
818	1536	339
819	1537	337
820	1538	335
821	1539	333
822	1541	331
823	1542	329
824	1543	327
825	1544	325
826	1546	323
827	1548	321
828	1549	319
829	1550	317
830	1552	315
831	1553	313
832	1554	311
833	1555	309
834	1557	307
835	1558	305
836	1559	303
837	1561	301
838	1562	299
839	1563	297
840	1564	295
841	1566	293
842	1567	291
843	1568	289
844	1569	287
845	1570	285
846	1571	283
847	1573	282
848	1574	280
849	1576	278
850	1577	276
851	1578	274
852	1579	272
853	1580	270
854	1581	268
855	1582	266
856	1583	264
857	1585	262
858	1586	260
859	1587	258
860	1589	256
861	1590	254
862	1591	252
863	1592	250
864	1594	248
865	1595	246
866	1596	244
867	1597	242
868	1598	241
869	1600	239
870	1601	237
871	1603	235
872	1604	233
873	1605	231
874	1606	229
875	1607	227
876	1608	225
877	1609	223
878	1610	221
879	1611	219
880	1613	217
881	1614	216
882	1616	214
883	1617	212
884	1619	210
885	1620	208
886	1621	206
887	1622	204
888	1623	202
889	1624	200
890	1626	198
891	1627	197
892	1628	195
893	1629	193
894	1631	191
895	1633	189
896	1634	187
897	1635	185
898	1637	183
899	1638	182
900	1639	180
901	1640	178
902	1642	176
903	1643	174
904	1644	172
905	1646	170
906	1647	168
907	1648	167
908	1650	165
909	1651	163
910	1652	161
911	1653	159
912	1655	157
913	1656	155
914	1657	153
915	1658	152
916	1660	150
917	1661	148
918	1662	146
919	1664	144
920	1665	142
921	1666	140
922	1667	139
923	1668	137
924	1669	135
925	1670	133
926	1672	131
927	1673	129
928	1675	128
929	1676	126
930	1677	124
931	1678	122
932	1679	120
933	1680	118
934	1682	116
935	1683	115
936	1684	113
937	1685	111
938	1686	109
939	1688	107
940	1690	105
941	1691	104
942	1692	102
943	1693	100
944	1694	98
945	1695	96
946	1696	94
947	1697	93
948	1698	91
949	1700	89
950	1701	87
951	1702	85
952	1704	84
953	1705	82
954	1706	80
955	1707	78
956	1709	76
957	1710	74
958	1711	73
959	1712	71
960	1713	69
961	1715	67
962	1716	65
963	1717	64
964	1719	62
965	1720	60
966	1722	58
967	1724	57
968	1725	55
969	1726	53
970	1728	51
971	1729	49
972	1730	48
973	1731	46
974	1733	44
975	1734	42
976	1735	40
977	1736	39
978	1738	37
979	1739	35
980	1740	33
981	1741	31
982	1742	30
983	1743	28
984	1744	26
985	1746	24
986	1747	23
987	1748	21
988	1750	19
989	1751	17
990	1752	15
991	1753	14
992	1754	12
993	1755	10
994	1756	8
995	1758	7
996	1759	5
997	1760	3
998	1762	1
999	1763	0
